Length (cm),Area (sq cm),Side Len (cm),Height/2 (cm),Top Len (cm),Width/2 (cm),Width Flare

0.000000,9.930000,0.000000,1.576190,0.000000,1.575000,Exp
1.000000,11.182548,1.009235,1.633734,1.001657,1.711195,Exp
2.000000,12.670961,2.020127,1.703849,2.004115,1.859167,Exp
3.000000,14.435823,3.032971,1.786670,3.007542,2.019935,Exp
4.000000,16.525256,4.048114,1.882487,4.012125,2.194604,Exp
5.000000,18.996229,5.065966,1.991738,5.018078,2.384378,Exp
6.000000,21.916119,6.087004,2.114996,6.025648,2.590563,Exp
7.000000,25.364540,7.111792,2.252963,7.035124,2.814576,Exp
8.000000,29.435517,8.140988,2.406466,8.046840,3.057961,Exp
9.000000,34.240052,9.175364,2.576461,9.061190,3.322392,Exp
10.000000,39.909147,10.215821,2.764029,10.078632,3.609689,Exp
11.000000,46.597378,11.263411,2.970385,11.099705,3.921830,Exp
12.000000,54.487108,12.319358,3.196878,12.125038,4.260962,Exp
13.000000,63.793463,13.385086,3.445003,13.155365,4.629420,Exp
14.000000,74.770192,14.462246,3.716405,14.191545,5.029740,Exp
15.000000,87.716592,15.552747,4.012891,15.234577,5.464676,Exp
16.000000,102.985664,16.658789,4.336441,16.285622,5.937223,Exp
17.000000,120.993740,17.782901,4.689220,17.346031,6.450632,Exp
18.000000,142.231837,18.927978,5.073593,18.417366,7.008437,Exp
19.000000,167.279039,20.097322,5.492138,19.501433,7.614478,Exp
20.000000,196.818294,21.294693,5.947664,20.600309,8.272924,Exp
21.000000,231.655031,22.524358,6.443232,21.716383,8.988309,Exp
22.000000,272.739121,23.791139,6.982172,22.852385,9.765554,Exp
23.000000,321.190780,25.100270,7.568107,24.011430,10.610011,Exp
24.000000,378.331109,26.457540,8.204976,25.197057,11.527490,Exp
25.000000,445.718119,27.869569,8.897062,26.413274,12.524306,Exp
26.000000,525.189209,29.343685,9.649020,27.664605,13.607320,Exp
27.000000,618.911270,30.887901,10.465907,28.956046,14.783985,Exp
28.000000,729.439764,32.510980,11.353219,30.293099,16.062400,Exp
29.000000,859.788404,34.222485,12.316923,31.681956,17.451364,Exp
30.000000,1013.511326,36.032822,13.363503,33.129519,18.960435,Exp
31.000000,1194.800000,37.953290,14.500000,34.643358,20.600000,Exp
